sample_idx,target_datetime,target_timestamp,5min_window_start,5min_window_end,5min_bars,5min_close_first,5min_close_last,15min_window_start,15min_window_end,15min_bars,15min_close_first,15min_close_last,60min_window_start,60min_window_end,60min_bars,60min_close_first,60min_close_last,4hour_window_start,4hour_window_end,4hour_bars,4hour_close_first,4hour_close_last,1day_window_start,1day_window_end,1day_bars,1day_close_first,1day_close_last,ctx_trend_60d,ctx_volatility_60d,ctx_volume_trend_60d,ctx_max_return_60d,ctx_max_drawdown_60d,ctx_mean_return_60d,label_10m,label_30m
0,2022-05-07 18:00:00,1651946400,2022-05-07 12:05:00,2022-05-07 18:00:00,72,36008.5,35893.8,2022-05-07 06:15:00,2022-05-07 18:00:00,48,35786.3,35897.5,2022-05-05 19:00:00,2022-05-07 18:00:00,48,36284.2,35876.4,2022-04-30 20:00:00,2022-05-07 16:00:00,42,37621.5,35867.6,2022-03-09 16:00:00,2022-05-07 16:00:00,60,39148.9,34339.9,2e-06,0.011766,-4e-06,0.064463,-0.251448,-0.000145,1,1
1,2022-05-07 18:30:00,1651948200,2022-05-07 12:35:00,2022-05-07 18:30:00,72,36019.0,35940.8,2022-05-07 06:45:00,2022-05-07 18:30:00,48,35803.7,35941.4,2022-05-05 19:00:00,2022-05-07 18:00:00,48,36284.2,35876.4,2022-04-30 20:00:00,2022-05-07 16:00:00,42,37621.5,35867.6,2022-03-09 16:00:00,2022-05-07 16:00:00,60,39148.9,34339.9,2e-06,0.011766,-4e-06,0.064463,-0.251448,-0.000145,0,0
2,2022-05-07 18:40:00,1651948800,2022-05-07 12:45:00,2022-05-07 18:40:00,72,36009.7,35941.4,2022-05-07 06:45:00,2022-05-07 18:30:00,48,35803.7,35941.4,2022-05-05 19:00:00,2022-05-07 18:00:00,48,36284.2,35876.4,2022-04-30 20:00:00,2022-05-07 16:00:00,42,37621.5,35867.6,2022-03-09 16:00:00,2022-05-07 16:00:00,60,39148.9,34339.9,2e-06,0.011766,-4e-06,0.064463,-0.251448,-0.000145,0,0
3,2022-05-07 19:40:00,1651952400,2022-05-07 13:45:00,2022-05-07 19:40:00,72,35909.4,35896.7,2022-05-07 07:45:00,2022-05-07 19:30:00,48,35900.0,35896.7,2022-05-05 20:00:00,2022-05-07 19:00:00,48,36437.1,35867.6,2022-04-30 20:00:00,2022-05-07 16:00:00,42,37621.5,35867.6,2022-03-09 16:00:00,2022-05-07 16:00:00,60,39148.9,34339.9,2e-06,0.011766,-4e-06,0.064463,-0.251448,-0.000145,0,0
4,2022-05-07 19:50:00,1651953000,2022-05-07 13:55:00,2022-05-07 19:50:00,72,35890.3,35878.3,2022-05-07 08:00:00,2022-05-07 19:45:00,48,35966.7,35867.6,2022-05-05 20:00:00,2022-05-07 19:00:00,48,36437.1,35867.6,2022-04-30 20:00:00,2022-05-07 16:00:00,42,37621.5,35867.6,2022-03-09 16:00:00,2022-05-07 16:00:00,60,39148.9,34339.9,2e-06,0.011766,-4e-06,0.064463,-0.251448,-0.000145,0,0
5,2022-05-07 20:10:00,1651954200,2022-05-07 14:15:00,2022-05-07 20:10:00,72,35896.0,35818.5,2022-05-07 08:15:00,2022-05-07 20:00:00,48,35928.7,35818.5,2022-05-05 21:00:00,2022-05-07 20:00:00,48,36424.4,35760.2,2022-05-01 00:00:00,2022-05-07 20:00:00,42,38018.7,35466.3,2022-03-09 16:00:00,2022-05-07 16:00:00,60,39148.9,34339.9,2e-06,0.01178,-4e-06,0.064463,-0.259823,-0.000174,0,0
6,2022-05-07 20:20:00,1651954800,2022-05-07 14:25:00,2022-05-07 20:20:00,72,35915.6,35810.7,2022-05-07 08:30:00,2022-05-07 20:15:00,48,35948.7,35795.9,2022-05-05 21:00:00,2022-05-07 20:00:00,48,36424.4,35760.2,2022-05-01 00:00:00,2022-05-07 20:00:00,42,38018.7,35466.3,2022-03-09 16:00:00,2022-05-07 16:00:00,60,39148.9,34339.9,2e-06,0.01178,-4e-06,0.064463,-0.259823,-0.000174,0,0
7,2022-05-07 20:50:00,1651956600,2022-05-07 14:55:00,2022-05-07 20:50:00,72,35943.3,35784.1,2022-05-07 09:00:00,2022-05-07 20:45:00,48,35999.0,35760.2,2022-05-05 21:00:00,2022-05-07 20:00:00,48,36424.4,35760.2,2022-05-01 00:00:00,2022-05-07 20:00:00,42,38018.7,35466.3,2022-03-09 16:00:00,2022-05-07 16:00:00,60,39148.9,34339.9,2e-06,0.01178,-4e-06,0.064463,-0.259823,-0.000174,0,0
8,2022-05-07 21:00:00,1651957200,2022-05-07 15:05:00,2022-05-07 21:00:00,72,35957.9,35801.2,2022-05-07 09:15:00,2022-05-07 21:00:00,48,35987.2,35448.4,2022-05-05 22:00:00,2022-05-07 21:00:00,48,36218.1,34988.2,2022-05-01 00:00:00,2022-05-07 20:00:00,42,38018.7,35466.3,2022-03-09 16:00:00,2022-05-07 16:00:00,60,39148.9,34339.9,2e-06,0.01178,-4e-06,0.064463,-0.259823,-0.000174,0,0
9,2022-05-07 21:10:00,1651957800,2022-05-07 15:15:00,2022-05-07 21:10:00,72,35980.1,35448.4,2022-05-07 09:15:00,2022-05-07 21:00:00,48,35987.2,35448.4,2022-05-05 22:00:00,2022-05-07 21:00:00,48,36218.1,34988.2,2022-05-01 00:00:00,2022-05-07 20:00:00,42,38018.7,35466.3,2022-03-09 16:00:00,2022-05-07 16:00:00,60,39148.9,34339.9,2e-06,0.01178,-4e-06,0.064463,-0.259823,-0.000174,0,0
10,2022-05-07 21:20:00,1651958400,2022-05-07 15:25:00,2022-05-07 21:20:00,72,35982.5,35282.8,2022-05-07 09:30:00,2022-05-07 21:15:00,48,35993.8,35315.4,2022-05-05 22:00:00,2022-05-07 21:00:00,48,36218.1,34988.2,2022-05-01 00:00:00,2022-05-07 20:00:00,42,38018.7,35466.3,2022-03-09 16:00:00,2022-05-07 16:00:00,60,39148.9,34339.9,2e-06,0.01178,-4e-06,0.064463,-0.259823,-0.000174,1,0
11,2022-05-07 21:30:00,1651959000,2022-05-07 15:35:00,2022-05-07 21:30:00,72,35933.3,35427.5,2022-05-07 09:45:00,2022-05-07 21:30:00,48,35966.9,35348.3,2022-05-05 22:00:00,2022-05-07 21:00:00,48,36218.1,34988.2,2022-05-01 00:00:00,2022-05-07 20:00:00,42,38018.7,35466.3,2022-03-09 16:00:00,2022-05-07 16:00:00,60,39148.9,34339.9,2e-06,0.01178,-4e-06,0.064463,-0.259823,-0.000174,0,0
12,2022-05-07 21:40:00,1651959600,2022-05-07 15:45:00,2022-05-07 21:40:00,72,35969.7,35348.3,2022-05-07 09:45:00,2022-05-07 21:30:00,48,35966.9,35348.3,2022-05-05 22:00:00,2022-05-07 21:00:00,48,36218.1,34988.2,2022-05-01 00:00:00,2022-05-07 20:00:00,42,38018.7,35466.3,2022-03-09 16:00:00,2022-05-07 16:00:00,60,39148.9,34339.9,2e-06,0.01178,-4e-06,0.064463,-0.259823,-0.000174,0,0
13,2022-05-07 22:10:00,1651961400,2022-05-07 16:15:00,2022-05-07 22:10:00,72,35947.5,35230.5,2022-05-07 10:15:00,2022-05-07 22:00:00,48,36019.9,35230.5,2022-05-05 23:00:00,2022-05-07 22:00:00,48,36521.8,35036.4,2022-05-01 00:00:00,2022-05-07 20:00:00,42,38018.7,35466.3,2022-03-09 16:00:00,2022-05-07 16:00:00,60,39148.9,34339.9,2e-06,0.01178,-4e-06,0.064463,-0.259823,-0.000174,0,0
14,2022-05-07 22:20:00,1651962000,2022-05-07 16:25:00,2022-05-07 22:20:00,72,35939.1,35140.5,2022-05-07 10:30:00,2022-05-07 22:15:00,48,36066.1,35197.4,2022-05-05 23:00:00,2022-05-07 22:00:00,48,36521.8,35036.4,2022-05-01 00:00:00,2022-05-07 20:00:00,42,38018.7,35466.3,2022-03-09 16:00:00,2022-05-07 16:00:00,60,39148.9,34339.9,2e-06,0.01178,-4e-06,0.064463,-0.259823,-0.000174,1,0
